Founder Name,Company,Website
Praveen ,Arthrobio,arthrobio.com
Anish Malpani,Ashaya,ashaya.in
Ankita Vijayvergiya,Billion Carbon,billioncarbon.com
Roshan Miranda,Bintix Waste Research,bintix.com
Vikas Bramhavar,Boson Whitewater,transwaters.com
Srinivasa Raju Namburi,Bridge Things IoT,bridgethings.com
Kishan Karunakaran,Buyofuel,buyofuel.com
Shreyans Kokra,CanvaLoop,canvaloop.com
Bhaktha Keshavachar,Chara technologies,chara.co.in
Priyanshu Kumath,Clean-water,clean-water.co.in
Anirudh Gupta,Climes,climes.io
Jai Asundi,CSTEP,cstep.in
Dhanvi Oza,Ctr+Z,ctrlz.world
Ravi Kumar,Dexler Energy,dexlerenergy.com
Aprit ,Dharaksha Ecosolution,dharaksha.com
Mansi Jain,Digital Paani,digitalpaani.com
Ruchir Punjabi,Distributed Energy,de.energy
Amit Pandey,Do It Zero,doitzero.com
Arundhati Sett,EcoCollab,ecocollab.com
Abhishek Gorle,EcoOrbit Solutions,ecoorbitsolutions.com
Ram Chaitanya,Ecowiser,wiser.eco
Kapil Mandawewala,Edible Routes,edibleroutes.com
Ganesh Shankar,FluxGen Technologies,fluxgen.com
Mainak Chakraborty,GPS Renewables,gpsrenewables.com
Pradyot Porwal,Hasten Ventures,mediusearth.com
Amit Shroff,Hastin Energy,hastinenergy.com
Sahil Bhargava,IFP Petro,ifp-petro.com
Arjun Sinha Roy,Irasus Technologies,irasus.com
Chandrasekhar Nandigama,Jivoule Biofuels,jivoule.com
Siddharth Hande ,Kabadiwalla Connect,kabadiwallaconnect.in
Bharath Pavuluri,Kakatiya Energy Sys Private Limited,natureswitch.com
Manas Rath,LEAP Cities,leap-cities.com
Ujwal Desai,Lucro Plastecycle Private Limited,lucro.in
Amogh Mukunda,Mesha Tech,meshatech.com
Shubham ,Metastable ,metastable.in
Gokul Shrinivas,Minion Labs,minionlabs.tech
Girish Shivakumar,Mission Shunya,girishshivakumar.com
Rahool Gadkari,Neufin,neufin.co
Darshan Virupaksha,Nunam,nunam.com
Madhusudhan Rapole,Oorja engineering,oorja.in
Ranjita Ravi,Orxa Energies,orxaenergies.com
Ajinkya Dhariya,PadCare Labs Pvt Ltd,padcarelabs.com
Gagan Agarwal,Planet Electric,planetelectric.in
Rahul Mishra,Probus Smart Things,probus.io
Kaustubh Padakannaya,Pyse,pyse.in
Tapasvi,Quality Group ,qualitygroup.in
Dinesh Arjun,Raptee Energy,rapteemotors.com
Rahul Nainani,ReCircle,recircle.in
Vishal Pandya,ReConnect Energy,reconnectenergy.com
Lakshmi,Renkube,renkube.com
Ronak Sutaria,Respirer Living Sciences,respirer.in
Dr Ritu Chatwal ,Retu Foods ,retufoods.com
Ankit Kherodiya,RevX Energy,revxenergy.com
Nidhi Pant,S4S Technologies,s4stechnologies.com
Ankit Mittal,Sheru,sheru.se
Arjun Gupta,Smart Joules,smartjoules.in
Manjunath Gangadhar,Smart Sustain,smartsustain.in
Sriram Kuchimanchi,Smarter Dharma,smarterdharma.com
Manan,Solar Ladder ,solarladder.com
Sharath Devineni,Solarify,solarify.io
Yash Tarwadi,Solnce Eneergy,solnceenergy.com
Sebastian Groh,SOLShare,me-solshare.com
Srihari Balakrishnan,Sri Kannapiran Mills limited,kannapiran.co.in
Ankit Jain,Step Change,stepchange.earth
"Dr,Ezhil ",String Bio,stringbio.com
Aalok A. Deshmukh,SuperHuman Race Private Limited,mysuperhumanrace.com
Rishika Reddy ,The Mend packaging ,themendpackaging.com
Amruth Puttappa,Things Cloud,thethingscloud.com
Swapnil Shrivastav,Uravu Labs,uravulabs.com
Madhur Jain,Varaha,varahaag.com
Sahithi Snigdha Bhupathiraju,Waste Ventures India,wasteventures.com
Krishnan Kasturirangan,Wastelink,wastelink.co
Chandrasekaran Jayaraman,Watsan Envirotech Pvt Ltd,watsan.in
Abilash Haridass,WeGot Utility Solutions,wegot.in
Neha Jain,ZeroCircle,zerocircle.in